index,term,score
7471,cardin,221.24205794056587
7765,futur,221.24205794056587
8308,materi,221.24205794056587
8183,dht,181.16216942673256
8626,IGFS,161.1282095948159
7644,DAG,141.09823779119242
8839,DML,141.09823779119242
7550,broadcast,121.07225282517501
7582,poor,121.07225282517501
7803,agg,121.07225282517501
9152,INDEX,121.07225282517501
7805,disjunct,101.05025350655036
7807,low,101.05025350655036
8009,hashCode,101.05025350655036
8298,analyt,101.05025350655036
8463,ATOMIC,101.05025350655036
8507,PERFORMANCE,101.05025350655036
7415,mongo,81.03223864557887
7872,ArrayList,81.03223864557887
7962,DataStore,81.03223864557887
8008,accumul,81.03223864557887
8036,LCS,81.03223864557887
8044,LP,81.03223864557887
8148,pherf,81.03223864557887
8246,stripe,81.03223864557887
8497,throughput,81.03223864557887
8719,streamer,81.03223864557887
6736,solrconfig,61.018207052994455
7416,MongoDB,61.018207052994455
7421,signific,61.018207052994455
7436,solver,61.018207052994455
7438,squar,61.018207052994455
7440,ImplicitFeedbackAlternatingLeastSquaresSolver,61.018207052994455
7509,malloc,61.018207052994455
7510,LZ,61.018207052994455
7520,cloud,61.018207052994455
7557,SegmentWriter,61.018207052994455
7613,subsystem,61.018207052994455
7666,DocumentStore,61.018207052994455
7751,NodeDocument,61.018207052994455
7836,CollectionUtils,61.018207052994455
7948,wake,61.018207052994455
8045,individu,61.018207052994455
8134,CPP,61.018207052994455
8233,GridNioServer,61.018207052994455
8235,GridCompoundFuture,61.018207052994455
8279,PHJ,61.018207052994455
8319,AVX,61.018207052994455
8343,bottleneck,61.018207052994455
8347,repartit,61.018207052994455
8370,GridDhtPartitionTopologyImpl,61.018207052994455
8376,ignit,61.018207052994455
8506,iOS,61.018207052994455
8528,DHT,61.018207052994455
8732,RocksDB,61.018207052994455
8733,rock,61.018207052994455
8852,LLVM,61.018207052994455
8869,IMPALA,61.018207052994455
8889,arriv,61.018207052994455
8952,mmap,61.018207052994455
7412,hunspel,41.00815754000428
7426,RandomAccessReader,41.00815754000428
7431,CellName,41.00815754000428
7445,mahout,41.00815754000428
7446,EMR,41.00815754000428
7490,vnode,41.00815754000428
7494,descent,41.00815754000428
7496,walog,41.00815754000428
7498,ONE,41.00815754000428
7526,NativeS,41.00815754000428
7553,ORC,41.00815754000428
7577,aarch,41.00815754000428
7578,ARM,41.00815754000428
7579,hardwar,41.00815754000428
7640,provis,41.00815754000428
7643,RLE,41.00815754000428
7649,getTask,41.00815754000428
7676,DAGImpl,41.00815754000428
7681,backpressur,41.00815754000428
7699,automaton,41.00815754000428
7700,topo,41.00815754000428
7701,topoSortStates,41.00815754000428
7702,AnalyzingSuggester,41.00815754000428
7705,physic,41.00815754000428
7740,AbstractIoBuffer,41.00815754000428
7745,repeatedli,41.00815754000428
7750,putAll,41.00815754000428
7764,ReadTimeoutException,41.00815754000428
7785,decompress,41.00815754000428
7795,maxRows,41.00815754000428
7801,FNV,41.00815754000428
7808,reduct,41.00815754000428
7815,UDAs,41.00815754000428
7819,from,41.00815754000428
7835,undocu,41.00815754000428
7850,DataStoreBlobStore,41.00815754000428
7856,creator,41.00815754000428
7867,accumulo,41.00815754000428
7884,MergeIterator,41.00815754000428
7887,foreach,41.00815754000428
7892,variant,41.00815754000428
