issue_id,reporter_col,team_col,component_col,grep_sec,grep_perf,Security_pos_col,Security_neu_col,Security_neg_col,Performance_pos_col,Performance_neu_col,Performance_neg_col,ST_col,Patch_col,CE_col,TC_col,EN_col,target_Security,target_Performance
5,Tulika Agrawal,0,Network Server,1,1,0.02197802197802198,0.0,0.9997531168991481,0.02197802197802198,0.011233181088754476,0.9996227423422035,0,0,1,0,0,0,0
19,Ramandeep Kaur,1,Services,0,1,0.07407407407407407,0.03988183161004431,0.9952742757708511,0.0,0.0,1.0,0,0,0,0,0,0,0
38,Mamta A. Satoor,1,SQL,0,0,0.0,0.0,1.0,0.125,0.0,0.9824561403508771,0,0,0,0,0,0,0
42,Sunitha Kambhampati,1,Services,0,0,0.11764705882352941,0.0,0.9922178988326849,0.058823529411764705,0.0,0.9963369963369964,0,0,0,0,0,1,0
44,Lance Andersen,1,JDBC,0,0,0.0,0.0,1.0,0.05555555555555555,0.0,0.9967426710097719,0,0,0,0,0,0,0
45,Lance Andersen,1,SQL,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,1,0,0,0
85,A B,1,SQL,1,1,0.010869565217391304,0.010987698554878777,0.9997572004795654,0.03260869565217391,0.0,0.9996337443535588,1,0,0,0,0,0,0
88,Daniel John Debrunner,1,Test,0,0,0.0,0.0,1.0,0.0625,0.06639004149377593,0.9908775536425543,0,0,0,0,0,0,0
90,Ron Reuben,0,Tools,0,0,0.0,0.0,1.0,0.02702702702702703,0.0,0.9992498124531134,0,0,0,0,0,0,0
94,Sunitha Kambhampati,1,Store,0,1,0.044444444444444446,0.0,0.9994834710743801,0.06666666666666667,0.01189532117367169,0.9990543650977993,0,0,0,0,0,0,0
100,Mamta A. Satoor,1,JDBC,0,0,0.0,0.0,1.0,0.08333333333333333,0.0,0.9962264150943396,0,0,0,0,0,0,0
117,Felipe Leme,0,Network Server,0,0,0.0,0.0,1.0,0.021739130434782608,0.0,0.9995171414775471,0,0,0,0,1,0,0
122,Daniel John Debrunner,1,Test,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0
