issue_id,reporter,component,keywords,pre_sum,summary,pre_des,description,des-1,des-2,des-3,des-4,des-5,files,Surprising
92,Eric Yang,ambari-agent,0,Agent should retry heartbeat message  if controller did not receive the heartbeat, agent retri heartbeat messag control not receiv heartbeat,If the heartbeat was not received correctly by the controller  then it should retry., heartbeat not receiv correctli control retri retri,0,0,0,0,0,0,0 
192,Ramya Sunil,null,0,Check for NN safemode during restarts, check NN safemod restart,There is no checks for safemode when we reconfigure the cluster., no check safemod reconfigur cluster cluster,0,0,0,0,0,CHANGES.txt;hmc/puppet/modules/hdp-hadoop/manifests/hdfs/service_check.pp;,1 
198,Jitendra Nath Pandey,ambari-server,0,Dependency of templeton on hcat client, depend templeton hcat client,hcat client should be installed at the templeton server node., hcat client instal templeton server node node,0,0,0,0,0,CHANGES.txt;hmc/php/puppet/genmanifest/PuppetClassDependencies.php;,1 
199,Jitendra Nath Pandey,ambari-server,0,Remove import of mysql puppet module from manifest., remov import mysql puppet modul manifest manifest,Remove import of mysql puppet module from manifest because this module is deprecated., remov import mysql puppet modul manifest modul deprec deprec,0,0,0,0,0,CHANGES.txt;hmc/php/puppet/genmanifest/generateManifest.php;,1 
202,Ramya Sunil,null,0,Add check to verify jdk path after install, add check verifi jdk path instal,After the jdk install  we do not validate the path. This causes problems during service start in later stages., jdk instal not valid path path caus problem servic start later stage stage,0,0,0,0,0,CHANGES.txt;hmc/puppet/modules/hdp/manifests/java/package.pp;,1 
207,Jitendra Nath Pandey,ambari-server,0,PHP Notice: Undefined variable: manifest in /usr/share/hmc/php/puppet/genmanifest/hostsConfig.php, PHP notic notic undefin variabl variabl manifest usr share hmc php puppet genmanifest hostsConfig php usr share hmc php puppet genmanifest host config php,Undefined variable used., undefin variabl use use,0,0,0,0,0,0,1 
208,Hitesh Shah,null,0,Support filtering hosts based on discovery status, support filter host base discoveri statu,Api to get hosts should allow filtering out bad hosts, api get host allow filter bad host,0,0,0,0,0,0,0 
217,vitthal (Suhas) Gogate,null,0,Alert table on the right needs to be tied visually/verbally to the context/content it is displaying, alert tabl right need tie visual verbal visual verbal context content context content display,Currently in Dashboard when service entry is clicked  right side alerts table caption does not indicate that it is showing alerts related to that service. So Cpation of the table should change indicating the corresponding service name., current dashboard servic entri click right side alert tabl caption not indic show alert relat servic servic cpation tabl chang indic correspond servic name name,0,0,0,0,0,0,1 
222,vitthal (Suhas) Gogate,null,0,Remove the word alert from all the Nagios alerts descriptions., remov word alert nagio alert descript descript,IT is sort of redundant.., sort redund redund,0,0,0,0,0,0,1 
226,Suresh Srinivas,null,0,Make the daemon names and other field names consistent, make daemon name field name consist,Following names need to be consistent: Hdfs -&gt; HDFS Mapreduce -&gt; MapReduce Zookeeper -&gt; ZooKeeper HADOOP -&gt; Hadoop, follow name need consist consist hdf gt gt HDFS mapreduc gt gt MapReduce map reduc zookeep gt gt ZooKeeper zoo keeper HADOOP gt gt hadoop,0,0,0,0,0,0,1 
232,Vikram Dixit K,null,0,Enable LZO should show checkbox instead of text, enabl LZO show checkbox instead text,Currently the enable lzo option shows a text box that needs to be filled with true/false. Changing the UI element to checkbox., current enabl lzo option show text box need fill true fals true fals chang UI element checkbox checkbox,0,0,0,0,0,0,1 
236,Jitendra Nath Pandey,ambari-server,0,Increase puppet agent timeout., increas puppet agent timeout timeout,Puppet agent timeout should be increases as sometimes (possibly due to a bug in ruby) puppet master takes long time to compile and send back the catalog., puppet agent timeout increas sometim possibl due bug rubi rubi puppet master take long time compil send back catalog catalog,0,0,0,0,0,0,0 
237,Jitendra Nath Pandey,ambari-server,0,Refactor puppet kick loop to easily change retries and timeouts., refactor puppet kick loop easili chang retri timeout timeout,Refactor puppet kick loop to easily change retries and timeouts., refactor puppet kick loop easili chang retri timeout timeout,0,0,0,0,0,0,0 
245,Jitendra Nath Pandey,ambari-server,0,Support data cleanup if installation fails., support data cleanup instal fail fail,We need to support data cleanup so that a cluster can be re-installed in case of failures., need support data cleanup cluster instal instal case failur failur,0,0,0,0,0,0,0 
247,Varun Kapoor,null,0,Replace index.php with clusters.php, replac index php index php cluster php cluster php,Like the title says: overwrite index.php with the contents of clusters.php  making sure to add a link to the AddNodesWizard as well., like titl say say overwrit index php index php content cluster php cluster php make sure add link AddNodesWizard add node wizard well well,0,0,0,0,0,0,0 
249,Vikram Dixit K,null,0,Uninstall support from UI, uninstal support UI,Uninstall/wipeout support from UI., uninstal wipeout uninstal wipeout support UI UI,0,0,0,0,0,0,0 
252,Varun Kapoor,null,0,Remove 'Playground' files from HMC, remov playground playground file HMC,There's a bunch of (temporary playground) files that got wrongly committed to the HMC codebase  so this is to remove all of them and get things into a cleaner state (at least on the face of things)., bunch temporari playground playground file got wrongli commit HMC codebas remov get thing cleaner state least face thing thing,0,0,0,0,0,0,0 
253,Ramya Sunil,null,0,Support uninstall state in mysql modules, support uninstal state mysql modul,Currently  there is no support for uninstall of mysql package., current no support uninstal mysql packag packag,0,0,0,0,0,0,0 
255,Varun Kapoor,null,0,Rename/Relocate files as appropriate, renam reloc renam reloc file appropri,There's some images in the html/ directory (that should be in images/)  there's .html files whose extension should be changed to .htmli  and such  that would be nice to clean up., imag html html directori imag imag html file whose extens chang htmli would nice clean,0,0,0,0,0,0,0 
